id,mes,linea,estacion,cantidad
75,12/2018,roca,Adrogue,291166
76,12/2018,roca,Ardigo,134124
77,12/2018,roca,Banfield,501573
78,12/2018,roca,Berazategui,205276
79,12/2018,roca,Bernal,111737
80,12/2018,roca,Bosques,103979
81,12/2018,roca,Brandsen,137
82,12/2018,roca,Brian,2
83,12/2018,roca,Burzaco,447091
84,12/2018,roca,Calzada,144693
85,12/2018,roca,Canuelas,25908
86,12/2018,roca,Chascomus,121
87,12/2018,roca,City Bell,40333
88,12/2018,roca,Claypole,221629
89,12/2018,roca,Constitucion,3958497
90,12/2018,roca,Dario Y Maxi,219828
91,12/2018,roca,Don Bosco,46084
92,12/2018,roca,El Jaguel,176919
93,12/2018,roca,Escalada,119281
94,12/2018,roca,Ezeiza,436366
95,12/2018,roca,Ezpeleta,159641
96,12/2018,roca,F. Varela,309044
97,12/2018,roca,Gerli,143373
98,12/2018,roca,Glew,558439
99,12/2018,roca,Gonnet,18350
100,12/2018,roca,Guernica,131566
101,12/2018,roca,Gutierrez,5508
102,12/2018,roca,H. Espanol,12
103,12/2018,roca,Haedo,2214
104,12/2018,roca,Hudson,57843
105,12/2018,roca,J. Marmol,52627
106,12/2018,roca,Juan XXIII,1
107,12/2018,roca,Kloosterman,103
108,12/2018,roca,Km. 33,5
109,12/2018,roca,Km. 34,11
110,12/2018,roca,L. De Zamora,1007243
111,12/2018,roca,L. Guillon,120379
112,12/2018,roca,La Noria,2
113,12/2018,roca,La Plata,229855
114,12/2018,roca,Lanus,814018
115,12/2018,roca,Levene,57
116,12/2018,roca,Llavallol,83439
117,12/2018,roca,Longchamps,394560
118,12/2018,roca,Maximo Paz,9414
119,12/2018,roca,Monte,1
120,12/2018,roca,Monte Grande,509488
121,12/2018,roca,Pereyra,1986
122,12/2018,roca,Platanos,42465
123,12/2018,roca,Policlinico,1
124,12/2018,roca,Quilmes,368441
125,12/2018,roca,Ranelagh,30231
126,12/2018,roca,Ringuelet,7757
127,12/2018,roca,San Justo,279
128,12/2018,roca,Santa Sofia,11361
129,12/2018,roca,Sarandi,44129
130,12/2018,roca,Sourigues,33070
131,12/2018,roca,Spegazzini,12350
132,12/2018,roca,Sta. Catalina,1
133,12/2018,roca,Tablada,277
134,12/2018,roca,Temperley,237125
135,12/2018,roca,Tolosa,15017
136,12/2018,roca,Tristan Suarez,21709
137,12/2018,roca,Turdera,91303
138,12/2018,roca,U. Ferroviaria,1905
139,12/2018,roca,V. Casares,58
140,12/2018,roca,V. Dominico,32465
141,12/2018,roca,Villa Elisa,34723
142,12/2018,roca,Villa Espana,35418
143,12/2018,roca,Wilde,58112
144,12/2018,roca,Yrigoyen,80989
145,12/2018,roca,Zeballos,95396
146,12/2018,sanmartin,Astolfi,6514
147,12/2018,sanmartin,B. Vista,92561
148,12/2018,sanmartin,Cabred,4161
149,12/2018,sanmartin,Caseros,131398
150,12/2018,sanmartin,Chacarita,42
151,12/2018,sanmartin,Derqui,154304
152,12/2018,sanmartin,Hurlingham,81329
153,12/2018,sanmartin,J.C. Paz,422703
154,12/2018,sanmartin,Manzanares,2311
155,12/2018,sanmartin,Muniz,52652
156,12/2018,sanmartin,Palermo,66
157,12/2018,sanmartin,Palomar,90222
158,12/2018,sanmartin,Paternal,9
159,12/2018,sanmartin,Pilar,133868
160,12/2018,sanmartin,Retiro,6
161,12/2018,sanmartin,S. Lugares,20524
162,12/2018,sanmartin,Saenz Pena,105706
163,12/2018,sanmartin,San Miguel,291087
164,12/2018,sanmartin,Sol Y Verde,79515
165,12/2018,sanmartin,V. Devoto,103539
166,12/2018,sanmartin,V. Parque,286902
167,12/2018,sanmartin,W. Morris,58613
168,12/2018,sarmiento,Caballito,172089
169,12/2018,sarmiento,Castelar,251355
170,12/2018,sarmiento,Ciudadela,148051
171,12/2018,sarmiento,Flores,261441
172,12/2018,sarmiento,Floresta,168229
173,12/2018,sarmiento,Haedo,146098
174,12/2018,sarmiento,Ituzaingo,274228
175,12/2018,sarmiento,Liniers,459091
176,12/2018,sarmiento,Merlo,807747
177,12/2018,sarmiento,Miserere,336
178,12/2018,sarmiento,Moreno,823200
179,12/2018,sarmiento,Morón,862437
180,12/2018,sarmiento,Once,1616034
181,12/2018,sarmiento,Paso del Rey,205227
182,12/2018,sarmiento,Ramos Mejía,418251
183,12/2018,sarmiento,S.A de Padua,240765
184,12/2018,sarmiento,Villa Luro,94012
185,11/2018,belgranosur,Aldo Bonzi,3474
186,11/2018,belgranosur,Buenos Aires,8
187,11/2018,belgranosur,Castello,55932
188,11/2018,belgranosur,Castillo,33129
189,11/2018,belgranosur,Eva Duarte,44696
190,11/2018,belgranosur,Fournier,35378
191,11/2018,belgranosur,G. Catan,152227
192,11/2018,belgranosur,I. Casanova,24860
193,11/2018,belgranosur,Illia,19827
194,11/2018,belgranosur,Independencia,119729
195,11/2018,belgranosur,J. Ingenieros,3840
196,11/2018,belgranosur,KM. 12,718
197,11/2018,belgranosur,Laferrere,200662
198,11/2018,belgranosur,Libertad,28432
199,11/2018,belgranosur,M. Belgrano,38764
200,11/2018,belgranosur,Mendeville,5595
201,11/2018,belgranosur,Merlo Gomez,20636
202,11/2018,belgranosur,Querandi,27469
203,11/2018,belgranosur,Saenz,236708
204,11/2018,belgranosur,Tapiales,33012
205,11/2018,belgranosur,V. Madero,66791
206,11/2018,belgranosur,V. Soldati,35381
207,11/2018,belgranosur,V.lugano,82188
208,11/2018,belgranosur,Villegas,5411
209,11/2018,mitre,3 De Febrero,76475
210,11/2018,mitre,Acassuso,57235
211,11/2018,mitre,Beccar,66628
212,11/2018,mitre,Belgrano C.,300390
213,11/2018,mitre,Belgrano R.,193854
214,11/2018,mitre,Benavidez,601
215,11/2018,mitre,Carranza,195908
216,11/2018,mitre,Carupa,84778
217,11/2018,mitre,Centrangolo,16767
218,11/2018,mitre,Chilavert,54072
219,11/2018,mitre,Coghlan,33864
220,11/2018,mitre,Colegiales,87618
221,11/2018,mitre,Drago,52965
222,11/2018,mitre,El Talar,96
223,11/2018,mitre,Escobar,3354
224,11/2018,mitre,Florida,23080
225,11/2018,mitre,Garin,918
226,11/2018,mitre,Jose Leon Suarez,251090
227,11/2018,mitre,Juan B. Justo,22423
228,11/2018,mitre,La Lucila,60289
229,11/2018,mitre,Lopez Camelo,592
230,11/2018,mitre,Malaver,32321
231,11/2018,mitre,Maq. Savio,2075
232,11/2018,mitre,Martinez,167212
233,11/2018,mitre,Matheu,1076
234,11/2018,mitre,Migueletes,49960
235,11/2018,mitre,Mitre,66075
236,11/2018,mitre,Nuñez,106138
237,11/2018,mitre,Olivos,88507
238,11/2018,mitre,Pueyrredon,80234
239,11/2018,mitre,Retiro,632640
240,11/2018,mitre,Retiro,768854
241,11/2018,mitre,Rivadavia,57912
242,11/2018,mitre,Saavedra,44872
243,11/2018,mitre,San Andres,54697
244,11/2018,mitre,San Fernando,97096
245,11/2018,mitre,San Isidro,296071
246,11/2018,mitre,San Martin,241702
247,11/2018,mitre,Tigre,294574
248,11/2018,mitre,Urquiza,240793
249,11/2018,mitre,V. Ballester,153932
250,11/2018,mitre,Vicente Lopez,95562
251,11/2018,mitre,Victoria Elect,79727
252,11/2018,mitre,Virreyes,149074
253,11/2018,mitre,Zarate,803
254,11/2018,mitre,Zelaya,399
255,11/2018,roca,A. De Elia,3
256,11/2018,roca,A. Petion,5927
257,11/2018,roca,A.korn,208114
258,11/2018,roca,Adrogue,318368
259,11/2018,roca,Altamirano,1
260,11/2018,roca,Ardigo,131934
261,11/2018,roca,Banfield,570957
262,11/2018,roca,Berazategui,255501
263,11/2018,roca,Bernal,142304
264,11/2018,roca,Bosques,105934
265,11/2018,roca,Brandsen,140
266,11/2018,roca,Brian,1
267,11/2018,roca,Burzaco,514206
268,11/2018,roca,Calzada,154286
269,11/2018,roca,Canuelas,27529
270,11/2018,roca,Chascomus,237
271,11/2018,roca,City Bell,43745
272,11/2018,roca,Claypole,271229
273,11/2018,roca,Constitucion,4192582
274,11/2018,roca,Dario Y Maxi,276339
275,11/2018,roca,Don Bosco,58967
276,11/2018,roca,El Jaguel,200200
277,11/2018,roca,Escalada,143320
278,11/2018,roca,Ezeiza,381684
279,11/2018,roca,Ezpeleta,200545
280,11/2018,roca,F. Varela,281153
281,11/2018,roca,Gerli,158475
282,11/2018,roca,Glew,625419
283,11/2018,roca,Gonnet,27502
284,11/2018,roca,Guernica,140900
285,11/2018,roca,Gutierrez,6431
286,11/2018,roca,H. Espanol,14
287,11/2018,roca,Haedo,2243
288,11/2018,roca,Hudson,64843
289,11/2018,roca,J. Marmol,55502
290,11/2018,roca,Jeppener,4
291,11/2018,roca,Juan XXIII,1
292,11/2018,roca,Kloosterman,131
293,11/2018,roca,Km. 33,4
294,11/2018,roca,Km. 34,14
295,11/2018,roca,L. De Zamora,1030635
296,11/2018,roca,L. Guillon,136139
297,11/2018,roca,La Noria,4
298,11/2018,roca,La Plata,300472
299,11/2018,roca,Lanus,890430
300,11/2018,roca,Levene,63
301,11/2018,roca,Llavallol,91191
302,11/2018,roca,Longchamps,456571
303,11/2018,roca,Maximo Paz,5702
304,11/2018,roca,Monte,1
305,11/2018,roca,Monte Grande,552226
306,11/2018,roca,Pereyra,3103
307,11/2018,roca,Platanos,49403
308,11/2018,roca,Policlinico,52
309,11/2018,roca,Quilmes,389528
310,11/2018,roca,Ranelagh,38501
311,11/2018,roca,Ringuelet,9596
312,11/2018,roca,San Justo,343
313,11/2018,roca,Santa Sofia,13375
314,11/2018,roca,Sarandi,49865
315,11/2018,roca,Sourigues,41252
316,11/2018,roca,Spegazzini,13951
317,11/2018,roca,Sta. Catalina,1
318,11/2018,roca,Tablada,305
319,11/2018,roca,Temperley,285294
320,11/2018,roca,Tolosa,10617
321,11/2018,roca,Tristan Suarez,28131
322,11/2018,roca,Turdera,95855
323,11/2018,roca,U. Ferroviaria,2517
324,11/2018,roca,V. Casares,126
325,11/2018,roca,V. Dominico,22017
326,11/2018,roca,Villa Elisa,43083
327,11/2018,roca,Villa Espana,40134
328,11/2018,roca,Wilde,78117
329,11/2018,roca,Yrigoyen,94917
330,11/2018,roca,Zeballos,98874
331,11/2018,sanmartin,Astolfi,14886
332,11/2018,sanmartin,B. Vista,103246
333,11/2018,sanmartin,Cabred,4040
334,11/2018,sanmartin,Caseros,151377
335,11/2018,sanmartin,Chacarita,33
336,11/2018,sanmartin,Derqui,168810
337,11/2018,sanmartin,Hurlingham,91310
338,11/2018,sanmartin,J.C. Paz,423431
339,11/2018,sanmartin,Manzanares,2853
340,11/2018,sanmartin,Muniz,54938
341,11/2018,sanmartin,Palermo,192
342,11/2018,sanmartin,Palomar,95883
343,11/2018,sanmartin,Paternal,13
344,11/2018,sanmartin,Pilar,160445
345,11/2018,sanmartin,Retiro,31
346,11/2018,sanmartin,S. Lugares,23088
347,11/2018,sanmartin,Saenz Pena,108016
348,11/2018,sanmartin,San Miguel,294931
349,11/2018,sanmartin,Sol Y Verde,92185
350,11/2018,sanmartin,V. Devoto,117520
351,11/2018,sanmartin,V. Parque,310785
352,11/2018,sanmartin,W. Morris,61438
353,11/2018,sarmiento,Caballito,190927
354,11/2018,sarmiento,Castelar,259034
355,11/2018,sarmiento,Ciudadela,156530
356,11/2018,sarmiento,Flores,216072
357,11/2018,sarmiento,Floresta,145447
358,11/2018,sarmiento,Haedo,162532
359,11/2018,sarmiento,Ituzaingo,292395
360,11/2018,sarmiento,Liniers,507665
361,11/2018,sarmiento,Merlo,879399
362,11/2018,sarmiento,Miserere,219
363,11/2018,sarmiento,Moreno,864818
364,11/2018,sarmiento,Morón,916476
365,11/2018,sarmiento,Once,1601815
366,11/2018,sarmiento,Paso del Rey,225516
367,11/2018,sarmiento,Ramos Mejía,477992
368,11/2018,sarmiento,S.A de Padua,270635
369,11/2018,sarmiento,Villa Luro,103856
370,10/2018,belgranosur,Aldo Bonzi,4603
371,10/2018,belgranosur,Buenos Aires,5
372,10/2018,belgranosur,Castello,62389
373,10/2018,belgranosur,Castillo,38932
374,10/2018,belgranosur,Eva Duarte,51853
375,10/2018,belgranosur,Fournier,42893
376,10/2018,belgranosur,G. Catan,176673
377,10/2018,belgranosur,I. Casanova,28751
378,10/2018,belgranosur,Illia,26615
379,10/2018,belgranosur,Independencia,138485
380,10/2018,belgranosur,J. Ingenieros,4521
381,10/2018,belgranosur,KM. 12,491
382,10/2018,belgranosur,Laferrere,230877
383,10/2018,belgranosur,Libertad,34452
384,10/2018,belgranosur,M. Belgrano,45561
385,10/2018,belgranosur,Mendeville,6566
386,10/2018,belgranosur,Merlo Gomez,24893
387,10/2018,belgranosur,Querandi,32069
388,10/2018,belgranosur,Saenz,283528
389,10/2018,belgranosur,Tapiales,37552
390,10/2018,belgranosur,V. Madero,82477
391,10/2018,belgranosur,V. Soldati,43265
392,10/2018,belgranosur,V.lugano,99516
393,10/2018,belgranosur,Villegas,6335
394,10/2018,mitre,3 De Febrero,91273
395,10/2018,mitre,Acassuso,65892
396,10/2018,mitre,Beccar,72978
397,10/2018,mitre,Belgrano C.,338501
398,10/2018,mitre,Belgrano R.,219041
399,10/2018,mitre,Benavidez,701
400,10/2018,mitre,Carranza,230278
401,10/2018,mitre,Carupa,91343
402,10/2018,mitre,Centrangolo,19384
403,10/2018,mitre,Chilavert,65321
404,10/2018,mitre,Coghlan,36630
405,10/2018,mitre,Colegiales,107808
406,10/2018,mitre,Drago,62543
407,10/2018,mitre,Escobar,2840
408,10/2018,mitre,Florida,26392
409,10/2018,mitre,Garin,1259
410,10/2018,mitre,Jose Leon Suarez,285058
411,10/2018,mitre,Juan B. Justo,25269
412,10/2018,mitre,La Lucila,69996
413,10/2018,mitre,Lopez Camelo,113
414,10/2018,mitre,Malaver,35166
415,10/2018,mitre,Martinez,184658
416,10/2018,mitre,Matheu,2
417,10/2018,mitre,Migueletes,54916
418,10/2018,mitre,Mitre,75734
419,10/2018,mitre,Nuñez,119889
420,10/2018,mitre,Olivos,98291
421,10/2018,mitre,Pueyrredon,92011
422,10/2018,mitre,Retiro,729252
423,10/2018,mitre,Retiro,861893
424,10/2018,mitre,Rivadavia,53638
425,10/2018,mitre,Saavedra,52647
426,10/2018,mitre,San Andres,63417
427,10/2018,mitre,San Fernando,101129
428,10/2018,mitre,San Isidro,337456
429,10/2018,mitre,San Martin,283621
430,10/2018,mitre,Tigre,334860
431,10/2018,mitre,Urquiza,274257
432,10/2018,mitre,V. Ballester,177806
433,10/2018,mitre,Vicente Lopez,106316
434,10/2018,mitre,Victoria Elect,82974
435,10/2018,mitre,Virreyes,167986
436,10/2018,mitre,Zarate,322
437,10/2018,mitre,Zelaya,496
438,10/2018,roca,A. De Elia,3
439,10/2018,roca,A. Petion,6281
440,10/2018,roca,A.korn,231126
441,10/2018,roca,Adrogue,352433
442,10/2018,roca,Ardigo,147213
443,10/2018,roca,Banfield,642671
444,10/2018,roca,Berazategui,289984
445,10/2018,roca,Bernal,148414
446,10/2018,roca,Bosques,115204
447,10/2018,roca,Brandsen,184
448,10/2018,roca,Burzaco,582419
449,10/2018,roca,Calzada,170609
450,10/2018,roca,Canuelas,30886
451,10/2018,roca,Chascomus,644
452,10/2018,roca,City Bell,49172
453,10/2018,roca,Claypole,321383
454,10/2018,roca,Constitucion,4734188
455,10/2018,roca,Dario Y Maxi,316364
456,10/2018,roca,Don Bosco,65139
457,10/2018,roca,El Jaguel,227378
458,10/2018,roca,Escalada,166199
459,10/2018,roca,Ezeiza,535738
460,10/2018,roca,Ezpeleta,220439
461,10/2018,roca,F. Varela,303297
462,10/2018,roca,Gerli,178127
463,10/2018,roca,Glew,717240
464,10/2018,roca,Gonnet,29885
465,10/2018,roca,Guernica,155494
466,10/2018,roca,Gutierrez,7888
467,10/2018,roca,H. Espanol,16
468,10/2018,roca,Haedo,2651
469,10/2018,roca,Hudson,76179
470,10/2018,roca,J. Marmol,63591
471,10/2018,roca,Jeppener,1
472,10/2018,roca,Juan XXIII,1
473,10/2018,roca,Kloosterman,185
474,10/2018,roca,Km. 33,6
475,10/2018,roca,Km. 34,7
476,10/2018,roca,L. De Zamora,1210977
477,10/2018,roca,L. Guillon,161085
478,10/2018,roca,La Noria,3
479,10/2018,roca,La Plata,328377
480,10/2018,roca,Lanus,997612
481,10/2018,roca,Levene,94
482,10/2018,roca,Llavallol,103258
483,10/2018,roca,Longchamps,518687
484,10/2018,roca,Maximo Paz,12928
485,10/2018,roca,Monte,8
486,10/2018,roca,Monte Grande,600471
487,10/2018,roca,Pereyra,1223
488,10/2018,roca,Platanos,57227
489,10/2018,roca,Policlinico,184
490,10/2018,roca,Quilmes,428183
491,10/2018,roca,Ranelagh,30872
492,10/2018,roca,Ringuelet,10235
493,10/2018,roca,San Justo,330
494,10/2018,roca,Santa Sofia,16004
495,10/2018,roca,Sarandi,52084
496,10/2018,roca,Sourigues,30563
497,10/2018,roca,Spegazzini,14123
498,10/2018,roca,Tablada,376
499,10/2018,roca,Temperley,320104
500,10/2018,roca,Tolosa,6412
501,10/2018,roca,Tristan Suarez,26852
502,10/2018,roca,Turdera,115207
503,10/2018,roca,U. Ferroviaria,151
504,10/2018,roca,V. Casares,114
505,10/2018,roca,V. Dominico,43079
506,10/2018,roca,Villa Elisa,53244
507,10/2018,roca,Villa Espana,32585
508,10/2018,roca,Wilde,84897
509,10/2018,roca,Yrigoyen,106499
510,10/2018,roca,Zeballos,107695
511,10/2018,sanmartin,Astolfi,15889
512,10/2018,sanmartin,B. Vista,117149
513,10/2018,sanmartin,Cabred,4854
514,10/2018,sanmartin,Caseros,171470
515,10/2018,sanmartin,Chacarita,73
516,10/2018,sanmartin,Derqui,193708
517,10/2018,sanmartin,Hurlingham,99892
518,10/2018,sanmartin,J.C. Paz,494683
519,10/2018,sanmartin,Manzanares,3266
520,10/2018,sanmartin,Muniz,75384
521,10/2018,sanmartin,Palermo,225
522,10/2018,sanmartin,Palomar,106599
523,10/2018,sanmartin,Paternal,16
524,10/2018,sanmartin,Pilar,180339
525,10/2018,sanmartin,Retiro,32
526,10/2018,sanmartin,S. Lugares,24494
527,10/2018,sanmartin,Saenz Pena,128617
528,10/2018,sanmartin,San Miguel,339212
529,10/2018,sanmartin,Sol Y Verde,107138
530,10/2018,sanmartin,V. Devoto,131517
531,10/2018,sanmartin,V. Parque,339994
532,10/2018,sanmartin,W. Morris,73189
533,10/2018,sarmiento,Caballito,210224
534,10/2018,sarmiento,Castelar,283780
535,10/2018,sarmiento,Ciudadela,175993
536,10/2018,sarmiento,Flores,282483
537,10/2018,sarmiento,Floresta,158197
538,10/2018,sarmiento,Haedo,189116
539,10/2018,sarmiento,Ituzaingo,332312
540,10/2018,sarmiento,Liniers,524821
541,10/2018,sarmiento,Merlo,997104
542,10/2018,sarmiento,Miserere,283
543,10/2018,sarmiento,Moreno,955968
544,10/2018,sarmiento,Morón,955233
545,10/2018,sarmiento,Once,1822588
546,10/2018,sarmiento,Paso del Rey,246380
547,10/2018,sarmiento,Ramos Mejía,531445
548,10/2018,sarmiento,S.A de Padua,306271
549,10/2018,sarmiento,Villa Luro,117906
550,09/2018,belgranosur,Aldo Bonzi,3396
551,09/2018,belgranosur,Buenos Aires,10
552,09/2018,belgranosur,Castello,60258
553,09/2018,belgranosur,Castillo,37696
554,09/2018,belgranosur,Eva Duarte,46783
555,09/2018,belgranosur,Fournier,36224
556,09/2018,belgranosur,G. Catan,160763
557,09/2018,belgranosur,I. Casanova,27566
558,09/2018,belgranosur,Illia,23089
559,09/2018,belgranosur,Independencia,126765
560,09/2018,belgranosur,Ing. Budge,1
561,09/2018,belgranosur,J. Ingenieros,4154
562,09/2018,belgranosur,KM. 12,2186
563,09/2018,belgranosur,Laferrere,212851
564,09/2018,belgranosur,Libertad,30786
565,09/2018,belgranosur,M. Belgrano,43868
566,09/2018,belgranosur,Mendeville,4737
567,09/2018,belgranosur,Merlo Gomez,25399
568,09/2018,belgranosur,Puente Alsina,1
569,09/2018,belgranosur,Querandi,27963
570,09/2018,belgranosur,Saenz,260839
571,09/2018,belgranosur,Tapiales,33148
572,09/2018,belgranosur,V. Madero,69378
573,09/2018,belgranosur,V. Soldati,37142
574,09/2018,belgranosur,V.lugano,89634
575,09/2018,belgranosur,Villegas,6066
576,09/2018,mitre,3 De Febrero,72303
577,09/2018,mitre,Acassuso,57084
578,09/2018,mitre,Beccar,61146
579,09/2018,mitre,Belgrano C.,264027
580,09/2018,mitre,Belgrano R.,191396
581,09/2018,mitre,Benavidez,640
582,09/2018,mitre,Carranza,206845
583,09/2018,mitre,Carupa,81147
584,09/2018,mitre,Centrangolo,17187
585,09/2018,mitre,Chilavert,56523
586,09/2018,mitre,Coghlan,7137
587,09/2018,mitre,Colegiales,95774
588,09/2018,mitre,Drago,58666
589,09/2018,mitre,El Talar,36
590,09/2018,mitre,Escobar,2417
591,09/2018,mitre,Florida,22871
592,09/2018,mitre,Garin,1700
593,09/2018,mitre,Jose Leon Suarez,253945
594,09/2018,mitre,Juan B. Justo,22599
595,09/2018,mitre,La Lucila,30993
596,09/2018,mitre,Lopez Camelo,46
597,09/2018,mitre,Malaver,31938
598,09/2018,mitre,Maq. Savio,1915
599,09/2018,mitre,Martinez,157542
600,09/2018,mitre,Matheu,1251
601,09/2018,mitre,Migueletes,40686
602,09/2018,mitre,Mitre,69294
603,09/2018,mitre,Nu,101611
604,09/2018,mitre,Olivos,81280
605,09/2018,mitre,Pueyrredon,80826
606,09/2018,mitre,Retiro,639816
607,09/2018,mitre,Retiro,688849
608,09/2018,mitre,Rivadavia,67393
609,09/2018,mitre,Saavedra,46522
610,09/2018,mitre,San Andres,53214
611,09/2018,mitre,San Fernando,83069
612,09/2018,mitre,San Isidro,289829
613,09/2018,mitre,San Martin,254749
614,09/2018,mitre,Tigre,249791
615,09/2018,mitre,Urquiza,243801
616,09/2018,mitre,V. Ballester,159148
617,09/2018,mitre,Vicente Lopez,89516
618,09/2018,mitre,Victoria Elect,77364
619,09/2018,mitre,Virreyes,140137
620,09/2018,mitre,Zarate,305
621,09/2018,mitre,Zelaya,390
622,09/2018,roca,A. De Elia,17
623,09/2018,roca,A. Petion,5979
624,09/2018,roca,A.korn,207211
625,09/2018,roca,Adrogue,319439
626,09/2018,roca,Ardigo,128095
627,09/2018,roca,Banfield,568711
628,09/2018,roca,Berazategui,249270
629,09/2018,roca,Bernal,118000
630,09/2018,roca,Bosques,84140
631,09/2018,roca,Brandsen,683
632,09/2018,roca,Burzaco,515017
633,09/2018,roca,Calzada,154674
634,09/2018,roca,Canuelas,27450
635,09/2018,roca,Chascomus,1354
636,09/2018,roca,City Bell,47638
637,09/2018,roca,Claypole,291537
638,09/2018,roca,Constitucion,4178554
639,09/2018,roca,Dario Y Maxi,286010
640,09/2018,roca,Don Bosco,50118
641,09/2018,roca,El Jaguel,146348
642,09/2018,roca,Escalada,144341
643,09/2018,roca,Ezeiza,495371
644,09/2018,roca,Ezpeleta,163801
645,09/2018,roca,F. Varela,250948
646,09/2018,roca,Gerli,155050
647,09/2018,roca,Glew,652293
648,09/2018,roca,Gonnet,24575
649,09/2018,roca,Guernica,136975
650,09/2018,roca,Gutierrez,5701
651,09/2018,roca,H. Espanol,15
652,09/2018,roca,Haedo,2120
653,09/2018,roca,Hudson,67300
654,09/2018,roca,J. Marmol,53359
655,09/2018,roca,Jeppener,3
656,09/2018,roca,Juan XXIII,8
657,09/2018,roca,Kloosterman,198
658,09/2018,roca,Km. 33,1
659,09/2018,roca,Km. 34,3
660,09/2018,roca,L. De Zamora,1089927
661,09/2018,roca,L. Guillon,144731
662,09/2018,roca,La Noria,2
663,09/2018,roca,La Plata,327390
664,09/2018,roca,Lanus,899907
665,09/2018,roca,Levene,74
666,09/2018,roca,Llavallol,94976
667,09/2018,roca,Longchamps,479639
668,09/2018,roca,Maximo Paz,723
669,09/2018,roca,Monte,149
670,09/2018,roca,Monte Grande,542941
671,09/2018,roca,Pereyra,822
672,09/2018,roca,Platanos,54539
673,09/2018,roca,Policlinico,165
674,09/2018,roca,Quilmes,360725
675,09/2018,roca,Ranelagh,13464
676,09/2018,roca,Ringuelet,9477
677,09/2018,roca,San Justo,319
678,09/2018,roca,Santa Sofia,14518
679,09/2018,roca,Sarandi,43387
680,09/2018,roca,Sourigues,14813
681,09/2018,roca,Spegazzini,12374
682,09/2018,roca,Tablada,321
683,09/2018,roca,Temperley,285344
684,09/2018,roca,Tolosa,14493
685,09/2018,roca,Tristan Suarez,20773
686,09/2018,roca,Turdera,103273
687,09/2018,roca,U. Ferroviaria,133
688,09/2018,roca,V. Casares,117
689,09/2018,roca,V. Dominico,4833
690,09/2018,roca,Villa Elisa,41080
691,09/2018,roca,Villa Espana,9436
