id_viaje,mes,id_linea,id_estacion,cantidad
258,11/2018,3,5,318368
259,11/2018,3,8,1
260,11/2018,3,10,131934
261,11/2018,3,12,570957
262,11/2018,3,18,255501
263,11/2018,3,19,142304
264,11/2018,3,20,105934
265,11/2018,3,21,140
266,11/2018,3,22,1
267,11/2018,3,24,514206
268,11/2018,3,28,154286
269,11/2018,3,29,27529
270,11/2018,3,39,237
271,11/2018,3,41,43745
272,11/2018,3,43,271229
273,11/2018,3,46,4192582
274,11/2018,3,47,276339
275,11/2018,3,50,58967
276,11/2018,3,52,200200
277,11/2018,3,55,143320
278,11/2018,3,65,381684
279,11/2018,3,66,200545
280,11/2018,3,71,281153
281,11/2018,3,74,158475
282,11/2018,3,75,625419
283,11/2018,3,76,27502
284,11/2018,3,77,140900
285,11/2018,3,78,6431
286,11/2018,3,80,14
287,11/2018,3,79,2243
288,11/2018,3,81,64843
289,11/2018,3,92,55502
290,11/2018,3,90,4
291,11/2018,3,96,1
292,11/2018,3,97,131
293,11/2018,3,99,4
294,11/2018,3,100,14
295,11/2018,3,108,1030635
296,11/2018,3,110,136139
297,11/2018,3,103,4
298,11/2018,3,106,300472
299,11/2018,3,104,890430
300,11/2018,3,109,63
301,11/2018,3,113,91191
302,11/2018,3,114,456571
303,11/2018,3,121,5702
304,11/2018,3,129,1
305,11/2018,3,130,552226
306,11/2018,3,144,3103
307,11/2018,3,146,49403
308,11/2018,3,147,52
309,11/2018,3,151,389528
310,11/2018,3,154,38501
311,11/2018,3,158,9596
312,11/2018,3,169,343
313,11/2018,3,172,13375
314,11/2018,3,174,49865
315,11/2018,3,177,41252
316,11/2018,3,178,13951
317,11/2018,3,179,1
318,11/2018,3,180,305
319,11/2018,3,182,285294
320,11/2018,3,184,10617
321,11/2018,3,185,28131
322,11/2018,3,186,95855
323,11/2018,3,187,2517
324,11/2018,3,190,126
325,11/2018,3,192,22017
326,11/2018,3,197,43083
327,11/2018,3,198,40134
328,11/2018,3,206,78117
329,11/2018,3,209,94917
330,11/2018,3,211,98874
331,11/2018,4,11,14886
332,11/2018,4,25,103246
333,11/2018,4,27,4040
334,11/2018,4,33,151377
335,11/2018,4,38,33
336,11/2018,4,48,168810
337,11/2018,4,82,91310
338,11/2018,4,89,423431
339,11/2018,4,117,2853
340,11/2018,4,134,54938
341,11/2018,4,140,192
342,11/2018,4,141,95883
343,11/2018,4,143,13
344,11/2018,4,145,160445
345,11/2018,4,155,31
346,11/2018,4,175,23088
347,11/2018,4,164,108016
348,11/2018,4,171,294931
349,11/2018,4,176,92185
350,11/2018,4,191,117520
351,11/2018,4,204,310785
352,11/2018,4,208,61438
353,11/2018,5,26,190927
354,11/2018,5,34,259034
355,11/2018,5,42,156530
356,11/2018,5,67,216072
357,11/2018,5,68,145447
358,11/2018,5,79,162532
359,11/2018,5,87,292395
360,11/2018,5,112,507665
361,11/2018,5,124,879399
362,11/2018,5,127,219
363,11/2018,5,132,864818
364,11/2018,5,133,916476
365,11/2018,5,139,1601815
366,11/2018,5,142,225516
367,11/2018,5,153,477992
368,11/2018,5,161,270635
369,11/2018,5,199,103856
370,10/2018,1,7,4603
371,10/2018,1,23,5
372,10/2018,1,35,62389
373,10/2018,1,36,38932
374,10/2018,1,64,51853
375,10/2018,1,70,42893
376,10/2018,1,73,176673
377,10/2018,1,83,28751
378,10/2018,1,84,26615
379,10/2018,1,85,138485
380,10/2018,1,91,4521
381,10/2018,1,98,491
382,10/2018,1,101,230877
383,10/2018,1,111,34452
384,10/2018,1,122,45561
385,10/2018,1,123,6566
386,10/2018,1,125,24893
387,10/2018,1,150,32069
388,10/2018,1,163,283528
389,10/2018,1,181,37552
390,10/2018,1,203,82477
391,10/2018,1,205,43265
392,10/2018,1,202,99516
393,10/2018,1,200,6335
394,10/2018,2,1,91273
395,10/2018,2,3,65892
396,10/2018,2,13,72978
397,10/2018,2,14,338501
398,10/2018,2,15,219041
399,10/2018,2,17,701
400,10/2018,2,31,230278
401,10/2018,2,32,91343
402,10/2018,2,37,19384
403,10/2018,2,40,65321
404,10/2018,2,44,36630
405,10/2018,2,45,107808
406,10/2018,2,51,62543
407,10/2018,2,56,2840
408,10/2018,2,69,26392
409,10/2018,2,72,1259
410,10/2018,2,94,285058
411,10/2018,2,95,25269
412,10/2018,2,102,69996
413,10/2018,2,115,113
414,10/2018,2,116,35166
415,10/2018,2,119,184658
416,10/2018,2,120,2
417,10/2018,2,126,54916
418,10/2018,2,128,75734
419,10/2018,2,137,119889
420,10/2018,2,138,98291
421,10/2018,2,149,92011
422,10/2018,2,155,729252
423,10/2018,2,155,861893
424,10/2018,2,159,53638
425,10/2018,2,160,52647
426,10/2018,2,166,63417
427,10/2018,2,167,101129
428,10/2018,2,168,337456
429,10/2018,2,170,283621
430,10/2018,2,183,334860
431,10/2018,2,188,274257
432,10/2018,2,189,177806
433,10/2018,2,193,106316
434,10/2018,2,194,82974
435,10/2018,2,201,167986
436,10/2018,2,210,322
437,10/2018,2,212,496
438,10/2018,3,4,3
439,10/2018,3,9,6281
440,10/2018,3,6,231126
441,10/2018,3,5,352433
442,10/2018,3,10,147213
443,10/2018,3,12,642671
444,10/2018,3,18,289984
445,10/2018,3,19,148414
446,10/2018,3,20,115204
447,10/2018,3,21,184
448,10/2018,3,24,582419
449,10/2018,3,28,170609
450,10/2018,3,29,30886
451,10/2018,3,39,644
452,10/2018,3,41,49172
453,10/2018,3,43,321383
454,10/2018,3,46,4734188
455,10/2018,3,47,316364
456,10/2018,3,50,65139
457,10/2018,3,52,227378
458,10/2018,3,55,166199
459,10/2018,3,65,535738
460,10/2018,3,66,220439
461,10/2018,3,71,303297
462,10/2018,3,74,178127
463,10/2018,3,75,717240
464,10/2018,3,76,29885
465,10/2018,3,77,155494
466,10/2018,3,78,7888
467,10/2018,3,80,16
468,10/2018,3,79,2651
469,10/2018,3,81,76179
470,10/2018,3,92,63591
471,10/2018,3,90,1
472,10/2018,3,96,1
473,10/2018,3,97,185
474,10/2018,3,99,6
475,10/2018,3,100,7
476,10/2018,3,108,1210977
477,10/2018,3,110,161085
478,10/2018,3,103,3
479,10/2018,3,106,328377
480,10/2018,3,104,997612
481,10/2018,3,109,94
482,10/2018,3,113,103258
483,10/2018,3,114,518687
484,10/2018,3,121,12928
485,10/2018,3,129,8
486,10/2018,3,130,600471
487,10/2018,3,144,1223
488,10/2018,3,146,57227
489,10/2018,3,147,184
490,10/2018,3,151,428183
491,10/2018,3,154,30872
492,10/2018,3,158,10235
493,10/2018,3,169,330
494,10/2018,3,172,16004
495,10/2018,3,174,52084
496,10/2018,3,177,30563
497,10/2018,3,178,14123
498,10/2018,3,180,376
499,10/2018,3,182,320104
500,10/2018,3,184,6412
501,10/2018,3,185,26852
502,10/2018,3,186,115207
503,10/2018,3,187,151
504,10/2018,3,190,114
505,10/2018,3,192,43079
506,10/2018,3,197,53244
507,10/2018,3,198,32585
508,10/2018,3,206,84897
509,10/2018,3,209,106499
510,10/2018,3,211,107695
511,10/2018,4,11,15889
512,10/2018,4,25,117149
513,10/2018,4,27,4854
514,10/2018,4,33,171470
515,10/2018,4,38,73
516,10/2018,4,48,193708
517,10/2018,4,82,99892
518,10/2018,4,89,494683
519,10/2018,4,117,3266
520,10/2018,4,134,75384
521,10/2018,4,140,225
522,10/2018,4,141,106599
523,10/2018,4,143,16
524,10/2018,4,145,180339
525,10/2018,4,155,32
526,10/2018,4,175,24494
527,10/2018,4,164,128617
528,10/2018,4,171,339212
529,10/2018,4,176,107138
530,10/2018,4,191,131517
531,10/2018,4,204,339994
532,10/2018,4,208,73189
533,10/2018,5,26,210224
534,10/2018,5,34,283780
535,10/2018,5,42,175993
536,10/2018,5,67,282483
537,10/2018,5,68,158197
538,10/2018,5,79,189116
539,10/2018,5,87,332312
540,10/2018,5,112,524821
541,10/2018,5,124,997104
542,10/2018,5,127,283
543,10/2018,5,132,955968
544,10/2018,5,133,955233
545,10/2018,5,139,1822588
546,10/2018,5,142,246380
547,10/2018,5,153,531445
548,10/2018,5,161,306271
549,10/2018,5,199,117906
550,09/2018,1,7,3396
551,09/2018,1,23,10
552,09/2018,1,35,60258
553,09/2018,1,36,37696
554,09/2018,1,64,46783
555,09/2018,1,70,36224
556,09/2018,1,73,160763
557,09/2018,1,83,27566
558,09/2018,1,84,23089
559,09/2018,1,85,126765
560,09/2018,1,86,1
561,09/2018,1,91,4154
562,09/2018,1,98,2186
563,09/2018,1,101,212851
564,09/2018,1,111,30786
565,09/2018,1,122,43868
566,09/2018,1,123,4737
567,09/2018,1,125,25399
568,09/2018,1,148,1
569,09/2018,1,150,27963
570,09/2018,1,163,260839
571,09/2018,1,181,33148
572,09/2018,1,203,69378
573,09/2018,1,205,37142
574,09/2018,1,202,89634
575,09/2018,1,200,6066
576,09/2018,2,1,72303
577,09/2018,2,3,57084
578,09/2018,2,13,61146
579,09/2018,2,14,264027
580,09/2018,2,15,191396
581,09/2018,2,17,640
582,09/2018,2,31,206845
583,09/2018,2,32,81147
584,09/2018,2,37,17187
585,09/2018,2,40,56523
586,09/2018,2,44,7137
587,09/2018,2,45,95774
588,09/2018,2,51,58666
589,09/2018,2,54,36
590,09/2018,2,56,2417
591,09/2018,2,69,22871
592,09/2018,2,72,1700
593,09/2018,2,94,253945
594,09/2018,2,95,22599
595,09/2018,2,102,30993
596,09/2018,2,115,46
597,09/2018,2,116,31938
598,09/2018,2,118,1915
599,09/2018,2,119,157542
600,09/2018,2,120,1251
601,09/2018,2,126,40686
602,09/2018,2,128,69294
603,09/2018,2,136,101611
604,09/2018,2,138,81280
605,09/2018,2,149,80826
606,09/2018,2,155,639816
607,09/2018,2,155,688849
608,09/2018,2,159,67393
609,09/2018,2,160,46522
610,09/2018,2,166,53214
611,09/2018,2,167,83069
612,09/2018,2,168,289829
613,09/2018,2,170,254749
614,09/2018,2,183,249791
615,09/2018,2,188,243801
616,09/2018,2,189,159148
617,09/2018,2,193,89516
618,09/2018,2,194,77364
619,09/2018,2,201,140137
620,09/2018,2,210,305
621,09/2018,2,212,390
622,09/2018,3,4,17
623,09/2018,3,9,5979
624,09/2018,3,6,207211
625,09/2018,3,5,319439
626,09/2018,3,10,128095
627,09/2018,3,12,568711
628,09/2018,3,18,249270
629,09/2018,3,19,118000
630,09/2018,3,20,84140
631,09/2018,3,21,683
632,09/2018,3,24,515017
633,09/2018,3,28,154674
634,09/2018,3,29,27450
635,09/2018,3,39,1354
636,09/2018,3,41,47638
637,09/2018,3,43,291537
638,09/2018,3,46,4178554
639,09/2018,3,47,286010
640,09/2018,3,50,50118
641,09/2018,3,52,146348
642,09/2018,3,55,144341
643,09/2018,3,65,495371
644,09/2018,3,66,163801
645,09/2018,3,71,250948
646,09/2018,3,74,155050
647,09/2018,3,75,652293
648,09/2018,3,76,24575
649,09/2018,3,77,136975
650,09/2018,3,78,5701
651,09/2018,3,80,15
652,09/2018,3,79,2120
653,09/2018,3,81,67300
654,09/2018,3,92,53359
655,09/2018,3,90,3
656,09/2018,3,96,8
657,09/2018,3,97,198
658,09/2018,3,99,1
659,09/2018,3,100,3
660,09/2018,3,108,1089927
661,09/2018,3,110,144731
662,09/2018,3,103,2
663,09/2018,3,106,327390
664,09/2018,3,104,899907
665,09/2018,3,109,74
666,09/2018,3,113,94976
667,09/2018,3,114,479639
668,09/2018,3,121,723
669,09/2018,3,129,149
670,09/2018,3,130,542941
671,09/2018,3,144,822
672,09/2018,3,146,54539
673,09/2018,3,147,165
674,09/2018,3,151,360725
675,09/2018,3,154,13464
676,09/2018,3,158,9477
677,09/2018,3,169,319
678,09/2018,3,172,14518
679,09/2018,3,174,43387
680,09/2018,3,177,14813
681,09/2018,3,178,12374
682,09/2018,3,180,321
683,09/2018,3,182,285344
684,09/2018,3,184,14493
685,09/2018,3,185,20773
686,09/2018,3,186,103273
687,09/2018,3,187,133
688,09/2018,3,190,117
689,09/2018,3,192,4833
690,09/2018,3,197,41080
691,09/2018,3,198,9436
692,09/2018,3,206,64547
693,09/2018,3,209,92149
694,09/2018,3,211,91048
695,09/2018,4,11,14609
696,09/2018,4,25,105581
697,09/2018,4,27,3829
698,09/2018,4,33,152114
699,09/2018,4,38,69
700,09/2018,4,48,175563
701,09/2018,4,82,88081
702,09/2018,4,89,445205
703,09/2018,4,117,2406
704,09/2018,4,134,68080
705,09/2018,4,140,179
706,09/2018,4,141,96744
707,09/2018,4,143,15
708,09/2018,4,145,159931
709,09/2018,4,155,91
710,09/2018,4,175,21351
711,09/2018,4,164,117309
712,09/2018,4,171,331225
713,09/2018,4,176,98085
714,09/2018,4,191,115116
715,09/2018,4,204,302907
716,09/2018,4,208,66210
717,09/2018,5,26,182151
718,09/2018,5,34,250996
719,09/2018,5,42,158068
720,09/2018,5,57,40
721,09/2018,5,58,51
722,09/2018,5,59,23
723,09/2018,5,61,649
724,09/2018,5,62,397
725,09/2018,5,63,214
726,09/2018,5,67,252807
727,09/2018,5,68,135312
728,09/2018,5,79,167659
729,09/2018,5,87,302582
730,09/2018,5,112,470348
731,09/2018,5,124,889735
732,09/2018,5,127,337
733,09/2018,5,131,834831
734,09/2018,5,132,892659
735,09/2018,5,139,1632491
736,09/2018,5,142,216051
737,09/2018,5,152,490901
738,09/2018,5,161,280056
739,09/2018,5,199,102600
740,08/2018,1,7,4201
741,08/2018,1,23,33
742,08/2018,1,35,60404
743,08/2018,1,36,41281
744,08/2018,1,64,48974
745,08/2018,1,70,39560
746,08/2018,1,73,195491
747,08/2018,1,83,27918
748,08/2018,1,84,20414
749,08/2018,1,85,137432
750,08/2018,1,91,4318
751,08/2018,1,98,2763
752,08/2018,1,101,229610
753,08/2018,1,111,31300
754,08/2018,1,122,46526
755,08/2018,1,123,5771
756,08/2018,1,125,26592
757,08/2018,1,150,30755
758,08/2018,1,163,290353
759,08/2018,1,181,35239
760,08/2018,1,203,75784
761,08/2018,1,205,42663
762,08/2018,1,202,96495
763,08/2018,1,200,6798
764,08/2018,2,1,72371
765,08/2018,2,3,65666
766,08/2018,2,13,71408
767,08/2018,2,14,293570
768,08/2018,2,15,211729
769,08/2018,2,17,483
770,08/2018,2,31,219887
771,08/2018,2,32,88559
772,08/2018,2,37,18357
773,08/2018,2,40,61605
774,08/2018,2,44,31070
775,08/2018,2,45,101385
776,08/2018,2,51,68312
777,08/2018,2,54,87
778,08/2018,2,56,3374
779,08/2018,2,69,24446
780,08/2018,2,72,1863
781,08/2018,2,94,267077
782,08/2018,2,95,23648
783,08/2018,2,102,61948
784,08/2018,2,115,1524
785,08/2018,2,116,34296
786,08/2018,2,118,2273
787,08/2018,2,119,176866
788,08/2018,2,120,1339
789,08/2018,2,126,42591
790,08/2018,2,128,72026
791,08/2018,2,137,114467
792,08/2018,2,138,95810
793,08/2018,2,149,90326
794,08/2018,2,155,713114
795,08/2018,2,155,744735
796,08/2018,2,159,100877
797,08/2018,2,160,50717
798,08/2018,2,166,54999
799,08/2018,2,167,92347
800,08/2018,2,168,331755
801,08/2018,2,170,281913
802,08/2018,2,183,317746
803,08/2018,2,188,271465
804,08/2018,2,189,180681
805,08/2018,2,193,99053
806,08/2018,2,194,87673
807,08/2018,2,201,153941
808,08/2018,2,210,815
809,08/2018,2,212,473
810,08/2018,3,4,30
811,08/2018,3,9,6251
812,08/2018,3,6,230035
813,08/2018,3,2,7
814,08/2018,3,5,350105
815,08/2018,3,10,143697
816,08/2018,3,12,627195
817,08/2018,3,18,284571
818,08/2018,3,19,92099
819,08/2018,3,20,96296
820,08/2018,3,21,1098
821,08/2018,3,22,1
822,08/2018,3,24,574624
823,08/2018,3,28,171302
824,08/2018,3,29,29117
825,08/2018,3,39,2385
826,08/2018,3,41,47461
827,08/2018,3,43,315505
828,08/2018,3,46,4635975
829,08/2018,3,47,303821
830,08/2018,3,50,57633
831,08/2018,3,52,217412
832,08/2018,3,55,158135
833,08/2018,3,65,541570
834,08/2018,3,66,196005
835,08/2018,3,71,280201
836,08/2018,3,74,164623
837,08/2018,3,75,705453
838,08/2018,3,76,20757
839,08/2018,3,77,151224
840,08/2018,3,78,8371
841,08/2018,3,80,24
842,08/2018,3,79,3141
843,08/2018,3,81,69731
844,08/2018,3,92,58510
845,08/2018,3,96,5
846,08/2018,3,97,144
847,08/2018,3,99,10
848,08/2018,3,100,7
849,08/2018,3,108,1205164
850,08/2018,3,110,157494
851,08/2018,3,103,4
852,08/2018,3,106,354286
853,08/2018,3,104,999585
854,08/2018,3,109,112
855,08/2018,3,113,101749
856,08/2018,3,114,533911
857,08/2018,3,121,1058
858,08/2018,3,129,69
859,08/2018,3,130,611677
860,08/2018,3,144,1141
861,08/2018,3,146,54527
862,08/2018,3,147,214
863,08/2018,3,151,376315
864,08/2018,3,154,9291
865,08/2018,3,158,9275
866,08/2018,3,169,407
867,08/2018,3,172,15992
868,08/2018,3,174,46377
869,08/2018,3,177,16077
870,08/2018,3,178,12360
871,08/2018,3,179,1
872,08/2018,3,180,387
873,08/2018,3,182,318930
874,08/2018,3,184,12550
875,08/2018,3,185,20955
876,08/2018,3,186,108837
877,08/2018,3,187,152
878,08/2018,3,190,149
879,08/2018,3,192,41354
880,08/2018,3,197,39913
881,08/2018,3,198,10387
882,08/2018,3,206,74511
883,08/2018,3,209,101452
884,08/2018,3,211,99393
885,08/2018,4,11,17955
886,08/2018,4,25,114466
887,08/2018,4,27,3346
888,08/2018,4,33,163505
889,08/2018,4,38,137
890,08/2018,4,48,189349
891,08/2018,4,82,90268
892,08/2018,4,89,486185
893,08/2018,4,117,2242
894,08/2018,4,134,67801
895,08/2018,4,140,376
896,08/2018,4,141,105641
897,08/2018,4,143,20
898,08/2018,4,145,167579
899,08/2018,4,155,16
900,08/2018,4,175,22824
901,08/2018,4,164,121349
902,08/2018,4,171,353666
903,08/2018,4,176,103538
904,08/2018,4,191,125793
905,08/2018,4,204,340206
906,08/2018,4,208,70004
907,08/2018,5,26,197099
908,08/2018,5,34,275135
909,08/2018,5,42,84414
910,08/2018,5,57,182
911,08/2018,5,58,466
912,08/2018,5,59,294
913,08/2018,5,60,1953
914,08/2018,5,61,6053
915,08/2018,5,62,5885
916,08/2018,5,63,2388
917,08/2018,5,67,274711
918,08/2018,5,68,151481
919,08/2018,5,79,187696
920,08/2018,5,87,281853
921,08/2018,5,112,221340
922,08/2018,5,124,970175
923,08/2018,5,127,369
924,08/2018,5,132,925785
925,08/2018,5,133,968464
926,08/2018,5,139,1855074
927,08/2018,5,142,231627
928,08/2018,5,153,515496
929,08/2018,5,161,304138
930,08/2018,5,199,117156
931,05/2017,2,1,20861
932,05/2017,2,3,20294
933,05/2017,2,13,71257
934,05/2017,2,14,371638
935,05/2017,2,15,155479
936,05/2017,2,31,161563
937,05/2017,2,32,122340
938,05/2017,2,37,15832
939,05/2017,2,40,33799
940,05/2017,2,44,15471
941,05/2017,2,45,26728
942,05/2017,2,51,28806
943,05/2017,2,69,15855
944,05/2017,2,94,205224
945,05/2017,2,95,2392
946,05/2017,2,107,62278
947,05/2017,2,102,61515
948,05/2017,2,116,2564
949,05/2017,2,119,178859
950,05/2017,2,128,52950
951,05/2017,2,137,93578
952,05/2017,2,138,74947
953,05/2017,2,149,40861
954,05/2017,2,156,602436
955,05/2017,2,157,815150
956,05/2017,2,159,61680
957,05/2017,2,160,25933
958,05/2017,2,166,10262
959,05/2017,2,167,81670
960,05/2017,2,168,303140
961,05/2017,2,170,185457
962,05/2017,2,183,281583
963,05/2017,2,188,184591
964,05/2017,2,189,122333
965,05/2017,2,193,77916
966,05/2017,2,194,74873
967,05/2017,2,201,115820
968,05/2017,3,9,1455
969,05/2017,3,6,183090
970,05/2017,3,5,277643
971,05/2017,3,10,50972
972,05/2017,3,12,533055
973,05/2017,3,18,37345
974,05/2017,3,19,9165
975,05/2017,3,20,5673
976,05/2017,3,24,488300
977,05/2017,3,28,133380
978,05/2017,3,29,6611
979,05/2017,3,41,11272
980,05/2017,3,43,310578
981,05/2017,3,46,3309393
982,05/2017,3,47,218384
983,05/2017,3,50,2315
984,05/2017,3,52,164063
985,05/2017,3,55,114982
986,05/2017,3,65,448090
987,05/2017,3,66,27863
988,05/2017,3,71,57687
989,05/2017,3,74,117018
990,05/2017,3,75,594647
991,05/2017,3,76,231
992,05/2017,3,77,100806
993,05/2017,3,78,5046
994,05/2017,3,79,575
995,05/2017,3,81,530
996,05/2017,3,92,70933
997,05/2017,3,108,900488
998,05/2017,3,110,117456
999,05/2017,3,106,1849
1000,05/2017,3,104,779454
1001,05/2017,3,113,74890
1002,05/2017,3,114,422244
1003,05/2017,3,121,4314
1004,05/2017,3,130,398411
1005,05/2017,3,146,6832
1006,05/2017,3,151,35451
